,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,000001.SZ,20220609,233998.6708,8.86,7.6639,34235.47,0.1463062584199944,10.57,26.83,14.35
1,000001.SZ,20220608,161352.4958,8.82,7.5624,-9745.48,-0.0603986938762926,10.57,26.83,14.16
2,000001.SZ,20220607,186036.6716,8.82,7.5624,3634.4800000000105,0.0195363632811844,10.57,26.83,14.16
3,000001.SZ,20220606,237080.761,8.78,7.5678,-15253.089999999997,-0.0643371057848089,10.57,26.83,14.17
4,000001.SZ,20220601,118742.3732,8.77,7.5197,-28921.92000000001,-0.2435686538897641,10.57,26.83,14.08
5,000001.SZ,20220531,132501.2048,8.79,7.5624,-14029.989999999998,-0.1058857541799499,10.57,26.83,14.16
6,000001.SZ,20220527,102970.2186,8.76,7.5731,910.0999999999984,0.0088384778858767,10.57,26.83,14.18
7,000001.SZ,20220525,86622.8924,8.84,7.6852,-3711.630000000001,-0.0428481420691974,10.57,26.83,14.39
8,000001.SZ,20220524,135869.3535,8.86,7.6906,-35874.240000000005,-0.2640348178296146,10.57,26.83,14.4
9,000001.SZ,20220523,96268.3729,8.9,7.9202,-7062.239999999998,-0.0733599186031324,10.57,26.83,14.83
10,000001.SZ,20220520,141516.4711,8.92,8.0217,9824.630000000005,0.0694239329431668,10.57,26.83,15.02
11,000001.SZ,20220519,86321.4131,8.85,7.8081,-9220.31,-0.106813705532353,10.57,26.83,14.62
12,000001.SZ,20220518,115050.0438,8.81,7.8775,2815.310000000005,0.024470307937423,10.57,26.83,14.75
13,000001.SZ,20220517,135742.8407,8.7,7.8561,5095.919999999998,0.037540985393567,10.57,26.83,14.71
14,000001.SZ,20220516,96565.2298,8.58,7.6959,-13545.079999999996,-0.1402687077745658,10.57,26.83,14.41
15,000001.SZ,20220513,98596.2932,8.63,7.8027,10517.45,0.1066718601546777,10.57,26.83,14.61
16,000001.SZ,20220512,98706.1607,8.57,7.6799,-11503.250000000004,-0.1165403447811338,10.57,26.83,14.38
17,000001.SZ,20220511,124070.0426,8.6,7.8134,9965.299999999996,0.0803199530778592,10.57,26.83,14.63
18,000001.SZ,20220510,142583.6927,8.6,7.7921,3349.149999999998,0.0234890115172336,10.57,26.83,14.59
19,000001.SZ,20220506,125099.5594,8.62,7.9897,8713.73,0.0696543620280728,10.57,26.83,14.96
20,000001.SZ,20220505,120873.5141,8.62,8.1819,-2331.91,-0.0192921502891922,10.57,26.83,15.32
21,000001.SZ,20220429,250347.6827,8.58,8.1819,-38181.22,-0.1525127757853218,10.57,26.83,15.32
22,000001.SZ,20220428,142638.1925,8.62,8.3582,-5688.759999999995,-0.0398824459304614,10.57,26.83,15.65
23,000001.SZ,20220427,229679.8759,8.6,8.3582,21484.700000000004,0.093541934903144,10.57,26.83,15.65
