,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,300755.SZ,20220609,18391.7716,1.38,22.0575,-2790.94,-0.1517493834036086,51.03,30.39,35.75
1,300755.SZ,20220607,20607.4107,1.38,23.5876,804.3400000000001,0.0390315897377636,51.03,30.39,38.23
2,300755.SZ,20220606,12247.0242,1.41,23.0015,247.09,0.0201755133300055,51.03,30.39,37.28
3,300755.SZ,20220602,12460.7677,1.42,22.6745,-397.73,-0.0319185791417971,51.03,30.39,36.75
4,300755.SZ,20220601,21037.2618,1.37,22.7115,-48.68999999999989,-0.0023144647085201,51.03,30.39,36.81
5,300755.SZ,20220531,20853.5179,1.34,22.4894,434.07000000000016,0.0208151930087537,51.03,30.39,36.45
6,300755.SZ,20220530,17928.5309,1.21,21.5577,-396.49000000000007,-0.0221150300719843,51.03,30.39,34.94
7,300755.SZ,20220527,17094.7553,1.13,20.768,-877.3600000000004,-0.0513233435988405,51.03,30.39,33.66
8,300755.SZ,20220526,11709.2341,1.07,20.9037,-1264.7800000000002,-0.1080156045389851,51.03,30.39,33.5496
9,300755.SZ,20220525,15002.2972,1.04,21.1814,-1525.72,-0.101699091789756,51.03,30.39,33.9953
10,300755.SZ,20220523,13474.9324,1.1,22.0081,109.52,0.0081276845589221,51.03,30.39,35.3222
11,300755.SZ,20220520,20560.7879,1.15,22.1871,143.62000000000012,0.0069851408758513,51.03,30.39,35.6094
12,300755.SZ,20220519,10242.2164,1.19,21.0086,-1080.12,-0.1054576429375188,51.03,30.39,33.718
13,300755.SZ,20220518,8781.6352,1.2,21.5454,232.47000000000008,0.0264722907187035,51.03,30.39,34.5795
14,300755.SZ,20220517,10960.2133,1.23,21.823,-268.78000000000003,-0.024523245364212,51.03,30.39,35.0251
15,300755.SZ,20220516,9340.0215,1.26,21.4282,-114.20999999999998,-0.0122280232438437,51.03,30.39,34.3914
16,300755.SZ,20220513,9536.6478,1.26,21.8045,-278.0300000000001,-0.029153850056201,51.03,30.39,34.9954
17,300755.SZ,20220512,13129.694200000002,1.3,22.2981,-40.36000000000013,-0.0030739482112233,51.03,30.39,35.7876
18,300755.SZ,20220511,13415.9809,1.34,21.6626,596.6099999999999,0.0444700990890647,51.03,30.39,34.7676
19,300755.SZ,20220506,10085.4796,1.3,21.1135,-1540.1199999999997,-0.1527066694974029,51.03,30.39,33.8863
20,300755.SZ,20220429,14938.9104,1.33,22.5141,2463.78,0.1649236747547532,51.03,30.39,36.1342
21,300755.SZ,20220428,10644.9612,1.29,21.0518,-207.0599999999999,-0.019451456525741,51.03,30.39,33.7873
22,300755.SZ,20220427,11450.2306,1.3,20.8544,-326.43999999999994,-0.0285094694948763,51.03,30.39,33.4704
23,300755.SZ,20220426,11956.6298,1.3,20.2065,588.7099999999998,0.0492371186402375,51.03,30.39,32.4307
24,300755.SZ,20220425,13324.8329,1.33,20.0029,-478.75000000000006,-0.0359291560046505,51.03,30.39,32.1039
25,300755.SZ,20220422,10678.3135,1.3,21.9464,-540.1700000000001,-0.0505857034446497,51.03,30.39,35.2232
26,300755.SZ,20220421,11800.9691,1.26,22.2241,-627.72,-0.053192241643951,51.03,30.39,35.6688
27,300755.SZ,20220420,15430.756,1.23,23.2606,-1199.64,-0.0777434365497063,51.03,30.39,37.3324
