,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,600426.SH,20220606,66037.7056,5.6,8.6811,111.34000000000016,0.001686006486573,62.2,54.13,29.67
1,600426.SH,20220530,66973.522,5.34,8.7689,-2037.5600000000004,-0.0304233664163578,62.2,54.13,29.97
2,600426.SH,20220524,111263.3593,5.31,8.2656,-15895.28,-0.1428617659937937,62.2,54.13,28.25
3,600426.SH,20220523,44771.5858,5.4,8.9912,-6913.110000000002,-0.1544084239249797,62.2,54.13,30.73
4,600426.SH,20220519,27751.9793,5.26,8.8654,-732.7900000000004,-0.0264049634830911,62.2,54.13,30.3
5,600426.SH,20220517,28336.8045,5.24,9.0907,3011.45,0.1062734508402314,62.2,54.13,31.07
6,600426.SH,20220513,30193.8827,5.12,8.7045,607.7399999999997,0.0201279181627078,62.2,54.13,29.75
7,600426.SH,20220428,41749.5854,4.96,8.6226,1291.9,0.0309440198656439,103.1,303.37,29.47
8,600426.SH,20220427,58372.9341,4.94,8.6167,-1934.21,-0.0331353910818747,103.1,303.37,29.45
9,600426.SH,20220426,57647.968700000005,4.92,8.1281,-3703.85,-0.0642494450979675,103.1,303.37,27.78
10,600426.SH,20220414,48962.8891,4.25,9.7433,2104.23,0.0429760179327326,103.1,303.37,33.3
11,600426.SH,20220413,66159.34109999999,4.25,9.8457,368.8000000000002,0.0055744206920464,103.1,303.37,33.65
12,600426.SH,20220412,65955.07070000001,4.04,9.9833,-1402.2000000000014,-0.0212599271764559,103.1,303.37,34.12
13,600426.SH,20220411,96065.5775,3.91,10.0037,-11508.4,-0.119797333233124,103.1,303.37,34.19
14,600426.SH,20220408,123387.0487,3.94,9.9833,4102.84,0.0332517881189908,103.1,303.37,34.12
15,600426.SH,20220330,76937.5692,3.96,9.4297,-2704.250000000001,-0.0351486280125419,103.1,303.37,32.39
16,600426.SH,20220328,38973.6832,4.07,37.9783,-703.0099999999998,-0.0180380693400822,101.64,334.84,32.34
17,600426.SH,20220321,42925.7453,4.0,38.0018,-2924.2000000000007,-0.0681222883741054,101.64,334.84,32.36
18,600426.SH,20220318,59706.7845,3.96,37.8726,-3605.770000000001,-0.0603912943930183,101.64,334.84,32.25
19,600426.SH,20220317,73694.5135,3.93,37.7435,1159.1800000000003,0.0157295291731588,101.64,334.84,32.14
20,600426.SH,20220309,99247.8066,3.97,37.6143,-3610.520000000001,-0.0363788392276671,101.64,334.84,32.03
21,600426.SH,20220221,50949.5152,3.31,41.2782,-34.680000000000746,-0.0006806737976576,101.64,334.84,35.15
22,600426.SH,20220209,84864.0309,3.24,39.1644,-6923.950000000001,-0.0815887476304168,101.64,334.84,33.35
23,600426.SH,20220126,41448.7937,3.47,36.757,-1885.7799999999995,-0.0454966196036725,101.64,334.84,31.3
24,600426.SH,20220120,59932.623,3.51,37.1915,2700.1000000000004,0.0450522580998999,101.64,334.84,31.67
25,600426.SH,20220117,34581.0166,3.29,35.2304,854.4599999999998,0.0247089323568353,101.64,334.84,30.0
26,600426.SH,20220113,60470.9416,3.4,35.2891,-6550.330000000001,-0.1083219448330865,101.64,334.84,30.05
27,600426.SH,20220112,45242.9208,3.5,36.2873,-1875.2,-0.0414473682698222,101.64,334.84,30.9
28,600426.SH,20220110,110672.4122,3.61,37.1798,440.84000000000106,0.0039832871737117,101.64,334.84,31.66
29,600426.SH,20211224,62984.284,3.52,38.4246,-4844.719999999998,-0.0769195058246593,101.64,334.84,32.72
30,600426.SH,20211220,73646.9682,3.62,37.8726,-724.1399999999994,-0.0098325839840885,101.64,334.84,32.25
31,600426.SH,20211217,68731.27530000001,3.75,38.3189,8631.82,0.1255879504974062,101.64,334.84,32.63
32,600426.SH,20211213,262878.1115,4.06,39.3523,37311.06,0.1419329277249467,101.64,334.84,33.51
33,600426.SH,20211208,81393.6446,3.89,35.7236,-364.90000000000055,-0.0044831510100482,101.64,334.84,30.42
34,600426.SH,20211207,165978.353,4.0,35.6296,15272.039999999995,0.0920122396924856,101.64,334.84,30.34
35,600426.SH,20211203,72739.5855,4.15,34.009,-10060.309999999998,-0.1383058472336221,101.64,334.84,28.96
36,600426.SH,20211130,63924.2978,3.88,34.5257,3210.079999999999,0.0502168989019383,101.64,334.84,29.4
37,600426.SH,20211123,59029.4964,3.43,35.2186,-1170.62,-0.0198311026078819,101.64,334.84,29.99
38,600426.SH,20211111,84123.29939999999,4.27,32.5176,10851.31,0.1289929196476571,101.64,334.84,27.69
39,600426.SH,20211108,86776.1618,4.18,33.1283,38.54999999999836,0.0004442464289772,101.64,334.84,28.21
40,600426.SH,20211104,112874.2131,4.2,33.1752,-6598.06,-0.0584549811581366,101.64,334.84,28.25
41,600426.SH,20211103,77794.9768,4.07,33.9973,3623.07,0.0465720300851095,101.64,334.84,28.95
42,600426.SH,20211028,168531.1321,3.55,35.7001,-16629.43,-0.0986727484280632,101.64,334.84,30.4
43,600426.SH,20211027,65751.0295,3.44,37.4264,90.30000000000108,0.0013733625265898,93.76,320.46,31.87
44,600426.SH,20211026,77278.6108,3.43,37.9901,362.1200000000004,0.0046859020400506,93.76,320.46,32.35
45,600426.SH,20211021,84602.9811,3.17,38.9765,-2305.6000000000013,-0.02725199478816,93.76,320.46,33.19
46,600426.SH,20211019,99755.7941,3.27,38.9413,-5434.679999999999,-0.0544798429908944,93.76,320.46,33.16
47,600426.SH,20211018,81455.7694,3.29,38.8356,361.8500000000004,0.0044422881603767,93.76,320.46,33.07
48,600426.SH,20211011,102774.6114,3.21,39.3171,-5354.079999999998,-0.0520953563050883,93.76,320.46,33.48
49,600426.SH,20210930,107370.565,3.24,38.6712,8612.460000000001,0.0802124865413533,93.76,320.46,32.93
50,600426.SH,20210927,123818.3761,3.02,39.2701,-19934.66,-0.1609992040591784,93.76,320.46,33.44
51,600426.SH,20210917,159212.2452,3.12,44.6603,-4353.310000000003,-0.0273428089311311,93.76,320.46,38.03
52,600426.SH,20210909,224818.1743,3.14,46.3528,11351.62000000001,0.0504924481098769,93.76,320.46,39.42
53,600426.SH,20210902,140793.1445,2.75,44.0599,6247.769999999995,0.0443755271052987,93.76,320.46,37.47
54,600426.SH,20210831,158696.1623,2.85,42.8252,5681.289999999997,0.0357997945108468,93.76,320.46,36.42
55,600426.SH,20210830,252546.7182,2.96,43.4131,21412.07,0.0847845901645931,69.09,266.87,36.92
56,600426.SH,20210827,136070.7759,3.23,41.7787,9637.71,0.0708286546927818,69.09,266.87,35.53
57,600426.SH,20210825,95746.6708,3.6,40.7322,-3840.74,-0.0401135618388519,69.09,266.87,34.64
58,600426.SH,20210824,116389.1776,3.68,40.6028,5349.23,0.0459598573536101,69.09,266.87,34.53
59,600426.SH,20210819,115551.3975,3.9,39.8502,-4201.5,-0.0363604429794975,69.09,266.87,33.89
60,600426.SH,20210818,100329.6123,3.9,41.7316,13154.719999999998,0.1311150287381305,69.09,266.87,35.49
61,600426.SH,20210816,229274.0076,4.0,43.4484,1239.3100000000086,0.0054053663255285,69.09,266.87,36.95
62,600426.SH,20210812,98403.3474,3.65,40.5323,-2728.7300000000014,-0.0277300526059137,69.09,266.87,34.47
63,600426.SH,20210811,146309.6177,3.61,41.3906,21616.27,0.1477433291113028,69.09,266.87,35.2
64,600426.SH,20210806,91438.9768,3.92,38.2863,2800.039999999999,0.0306219524538686,69.09,266.87,32.56
65,600426.SH,20210802,118567.5669,4.42,38.3334,5396.190000000002,0.0455115183779654,69.09,266.87,32.6
66,600426.SH,20210728,123292.7166,4.62,34.8528,-4571.389999999999,-0.0370775348784876,69.09,266.87,29.64
67,600426.SH,20210726,114249.4812,5.05,39.2741,-5742.66,-0.0502642107402409,69.09,266.87,33.4
68,600426.SH,20210722,114236.3166,5.23,39.9678,2936.0099999999984,0.0257011963216608,69.09,266.87,33.99
69,600426.SH,20210721,144357.0195,5.11,40.0854,1857.719999999996,0.0128689273748824,69.09,266.87,34.09
70,600426.SH,20210715,136463.1651,4.63,43.2838,3025.7099999999973,0.0221723568977955,69.09,266.87,36.81
71,600426.SH,20210713,143481.3927,4.38,42.7782,-12547.89,-0.0874530819911674,69.09,266.87,36.38
72,600426.SH,20210706,268215.9649,3.73,40.6851,16616.33,0.0619513085516558,69.09,266.87,34.6
73,600426.SH,20210630,70819.6795,3.2,36.3932,-751.3000000000011,-0.0106086331554211,69.09,266.87,30.95
74,600426.SH,20210629,76507.4629,3.2,36.8753,-4505.250000000001,-0.0588864122430597,69.09,266.87,31.36
75,600426.SH,20210628,121284.3261,3.05,36.9811,-11550.740000000002,-0.0952368733159824,69.09,266.87,31.45
76,600426.SH,20210625,127540.1918,3.11,38.4274,-497.9999999999982,-0.0039046514904174,69.09,266.87,32.68
77,600426.SH,20210623,86381.2607,3.33,36.4167,-5168.760000000001,-0.0598365890716851,69.09,266.87,30.97
78,600426.SH,20210622,108943.9935,3.26,36.6754,-13658.039999999995,-0.125367535751294,69.09,266.87,31.19
79,600426.SH,20210618,135331.6681,3.15,37.3574,-6095.649999999999,-0.0450423029995888,69.09,266.87,31.77
80,600426.SH,20210615,109180.5275,3.08,39.133,-1344.9800000000014,-0.0123188633614176,69.09,266.87,33.28
81,600426.SH,20210609,189935.2619,3.27,39.8385,-22049.71,-0.1160906604672968,69.09,266.87,33.88
82,600426.SH,20210607,132479.0147,3.21,38.9448,7667.089999999998,0.0578739962503661,69.09,266.87,33.12
83,600426.SH,20210602,266481.8557,3.21,39.2976,264.9800000000032,0.0009943641352389,69.09,266.87,33.42
84,600426.SH,20210601,131211.6005,2.86,36.2874,9931.84,0.075693307315461,69.09,266.87,30.86
85,600426.SH,20210528,56576.7032,2.68,33.3477,-5608.799999999998,-0.0991362112453381,69.09,266.87,28.36
86,600426.SH,20210525,67964.5767,2.63,33.1595,8968.380000000001,0.1319566814869899,69.09,266.87,28.2
87,600426.SH,20210524,64971.720700000005,3.33,32.5246,3319.62,0.0510933058911582,69.09,266.87,27.66
88,600426.SH,20210511,124268.6945,2.44,35.457,-6901.6900000000005,-0.0555384445597438,69.09,266.87,29.9095
89,600426.SH,20210510,134503.1963,2.82,37.1304,-2522.3700000000044,-0.0187532346396737,69.09,266.87,31.321
90,600426.SH,20210430,83643.011,3.45,35.2852,4476.310000000001,0.0535168443422009,69.09,266.87,29.7645
91,600426.SH,20210416,47857.917,3.23,32.5626,2811.04,0.058737199113785,-7.58,-26.69,27.4679
92,600426.SH,20210414,36607.3194,3.32,31.7033,3432.4100000000008,0.0937629429375809,-7.58,-26.69,26.7431
93,600426.SH,20210413,45793.617,3.38,31.2329,-1248.2699999999998,-0.0272586024379773,-7.58,-26.69,26.3463
94,600426.SH,20210409,60686.5901,3.25,32.0922,-12523.6,-0.2063651950021163,-7.58,-26.69,27.0711
95,600426.SH,20210401,33273.1878,3.07,34.444,-1155.5999999999997,-0.0347306668343932,-7.58,-26.69,29.0549
96,600426.SH,20210325,47230.6849,3.19,22.9905,-3947.13,-0.0835713055687659,-14.77,-32.52,26.4531
97,600426.SH,20210318,67606.40359999999,2.84,25.265,-673.7500000000005,-0.0099657719405739,-14.77,-32.52,29.0702
98,600426.SH,20210315,114684.7521,2.94,23.7,-21390.4,-0.1865147686010475,-14.77,-32.52,27.2695
99,600426.SH,20210305,107149.3415,2.86,25.2252,-10041.56,-0.0937155549388047,-14.77,-32.52,29.0244
