,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,603357.SH,20220609,11.54,25494.7899,1.47,13.8955,295.24999999999966,0.011580797533852188,17.1,12.0
1,603357.SH,20220607,11.42,15605.525599999999,1.55,13.751,-1194.73,-0.07655813912477258,17.1,12.0
2,603357.SH,20220530,11.76,16843.8315,2.1,14.1604,-1539.2199999999998,-0.09138182129166988,17.1,12.0
3,603357.SH,20220527,12.0,29207.637300000002,2.06,14.4494,1548.5500000000002,0.05301866714155616,17.1,12.0
4,603357.SH,20220524,11.06,32251.9588,1.64,13.3175,-3923.41,-0.12164873533200718,17.1,12.0
5,603357.SH,20220523,12.24,21654.953400000002,1.51,14.7384,-1596.7200000000003,-0.07373463107983415,17.1,12.0
6,603357.SH,20220511,14.44,116053.6956,1.89,17.3874,-8828.329999999998,-0.07607108032499396,17.1,12.0
7,603357.SH,20220429,12.09,59923.9233,1.94,14.152,3.079999999999359,5.1398503809235045e-05,17.1,12.0
8,603357.SH,20220419,10.94,14059.521499999999,1.81,12.8058,-826.2000000000003,-0.05876444657095907,23.41,6.9
9,603357.SH,20220414,11.06,19704.771,1.71,12.9463,1285.9100000000003,0.0652588147307066,23.41,6.9
10,603357.SH,20220411,10.81,31762.4766,1.52,12.6537,2562.56,0.080678847316333,23.41,6.9
11,603357.SH,20220406,10.15,12540.8577,2.03,11.8811,-213.44999999999993,-0.017020366956240953,23.41,6.9
12,603357.SH,20220330,9.66,8844.0175,2.16,11.3075,428.06000000000006,0.04840108016520773,23.41,6.9
13,603357.SH,20220329,9.44,9242.1891,2.09,11.05,641.92,0.06945540640366253,23.41,6.9
14,603357.SH,20220328,9.62,5955.112,2.48,11.2607,302.29,0.05076142984380479,23.41,6.9
15,603357.SH,20220325,9.52,4022.5510000000004,2.41,11.913,-15.170000000000044,-0.003771238699024585,34.52,8.73
16,603357.SH,20220324,9.54,4629.7,2.37,11.938,-190.32,-0.041108495150873704,34.52,8.73
17,603357.SH,20220323,9.73,5553.7453000000005,2.35,12.1757,-347.99000000000007,-0.06265861705973445,34.52,8.73
18,603357.SH,20220322,9.67,6589.710400000001,2.38,12.1007,-499.28000000000003,-0.07576660728520027,34.52,8.73
19,603357.SH,20220321,9.72,10289.6015,2.36,12.1632,918.6300000000001,0.08927750992105964,34.52,8.73
20,603357.SH,20220318,9.57,12434.6849,2.54,11.9755,-351.8699999999999,-0.028297460114972427,34.52,8.73
21,603357.SH,20220316,9.25,10871.5216,2.27,11.5751,1058.6100000000001,0.0973745938195073,34.52,8.73
22,603357.SH,20220308,9.7,7880.1181,2.36,12.1382,-909.99,-0.11547923374397143,34.52,8.73
23,603357.SH,20220307,9.98,9094.155,2.32,12.4886,271.28,0.029830149145247686,34.52,8.73
24,603357.SH,20220303,10.14,6638.844,2.38,12.6888,-298.6600000000001,-0.04498674769282123,34.52,8.73
25,603357.SH,20220224,10.29,21640.235,1.78,12.8765,-773.92,-0.03576301273992634,34.52,8.73
26,603357.SH,20220222,10.91,25598.1759,1.98,13.6524,-1941.3199999999997,-0.0758382162691522,34.52,8.73
27,603357.SH,20220218,11.67,20835.817600000002,1.84,14.6034,870.9200000000003,0.04179917566565759,34.52,8.73
28,603357.SH,20220128,10.69,12313.7947,2.5,13.3771,593.7000000000003,0.04821421945584331,34.52,8.73
29,603357.SH,20220126,11.35,20271.1318,2.71,14.203,-315.53,-0.015565485100343533,34.52,8.73
30,603357.SH,20220125,10.72,12891.9907,2.9,13.4146,219.70000000000005,0.01704158846468917,34.52,8.73
31,603357.SH,20220121,10.94,19086.0053,3.02,13.6899,-427.78999999999996,-0.02241380494639179,34.52,8.73
32,603357.SH,20220119,11.72,60741.69989999999,3.24,14.666,-4605.52,-0.07582138806754075,34.52,8.73
33,603357.SH,20220118,11.7,38803.0257,3.45,14.6409,3773.18,0.09723932430351688,34.52,8.73
34,603357.SH,20220112,10.51,24464.8336,3.84,13.1518,-200.24,-0.00818480939923499,34.52,8.73
35,603357.SH,20220107,9.62,10313.6808,4.28,12.0381,269.54999999999995,0.026135189291489412,34.52,8.73
36,603357.SH,20220105,9.25,2824.1435,4.32,11.5751,-1.6400000000000006,-0.0005807070356021217,34.52,8.73
37,603357.SH,20211231,9.22,2669.3671999999997,4.35,11.5376,-231.75,-0.08681832907814258,34.52,8.73
38,603357.SH,20211229,9.05,1029.9049,4.27,11.3248,-27.24,-0.026449043984546533,34.52,8.73
39,603357.SH,20211223,9.04,2008.2784,4.25,11.3123,-330.42,-0.16452898163919905,34.52,8.73
40,603357.SH,20211221,9.21,2307.4227,4.22,11.525,38.21000000000001,0.016559601324889456,34.52,8.73
41,603357.SH,20211210,8.799999999999999,994.8393,4.04,11.012,12.880000000000003,0.012946814626241648,34.52,8.73
